"","year.centroids","longlat","species","year","long1","lat1","r.sq","Asym","xmid","scal","ad.LL","ad.UL","ad.CI","grid.ID","temp.at.pts","tmin"
"3957",20108337,-8436,"Vireo olivaceus",2010,-84,36,0.131876856,-1.215678164,109.4771427,0.695032351,106,113,7,111,42.24927662,0.422492766
"3958",20108335,-8434,"Vireo olivaceus",2010,-84,34,0.53417507,-0.654958007,107.1890762,4.067392543,92,123,31,112,139.197772,1.39197772
"3959",20108333,-8432,"Vireo olivaceus",2010,-84,32,0.221976224,-0.569457409,95.94047669,2.448394933,86,105,19,113,422.5697338,4.225697338
"3960",20108545,-8644,"Vireo olivaceus",2010,-86,44,0.469452819,-0.509769266,139.354166,2.681118274,129,150,21,120,-432.9763519,-4.329763519
"3961",20108543,-8642,"Vireo olivaceus",2010,-86,42,0.434380524,-1.586816139,121.9931303,0.050267741,121,123,2,121,-252.2322049,-2.522322049
"3962",20108541,-8640,"Vireo olivaceus",2010,-86,40,0.31971003,-0.788512748,124.778578,2.550141223,115,135,20,122,-107.7219329,-1.077219329
"3963",20108539,-8638,"Vireo olivaceus",2010,-86,38,0.413897773,-1.061032691,113.950826,0.080130557,113,115,2,123,16.78718171,0.167871817
"3964",20108537,-8636,"Vireo olivaceus",2010,-86,36,0.309757986,0.291301883,108.6269428,3.150366961,97,121,24,124,101.0891204,1.010891204
"3965",20108535,-8634,"Vireo olivaceus",2010,-86,34,0.573079507,-0.414729754,101.4227956,0.293015807,100,103,3,125,220.3278356,2.203278356
"3966",20108533,-8632,"Vireo olivaceus",2010,-86,32,0.243424614,-0.865735717,98.81579051,1.479667734,93,105,12,126,350.6896701,3.506896701
"3967",20108745,-8844,"Vireo olivaceus",2010,-88,44,0.478690779,0.710720135,137.6994781,3.036968001,126,149,23,133,-347.6934449,-3.476934449
"3968",20108743,-8842,"Vireo olivaceus",2010,-88,42,0.592171619,-0.833086356,135.6394698,4.072583655,120,151,31,134,-148.4672619,-1.484672619
"3969",20108741,-8840,"Vireo olivaceus",2010,-88,40,0.530295156,-1.137018831,122.4866584,2.291275669,114,131,17,135,-70.85938452,-0.708593845
"3970",20108739,-8838,"Vireo olivaceus",2010,-88,38,0.419100907,-0.549896641,113.9098227,2.874107979,103,125,22,136,73.30627894,0.733062789
"3971",20108737,-8836,"Vireo olivaceus",2010,-88,36,0.18462715,-1.003240894,106.7289165,3.325946967,94,119,25,137,217.5299479,2.175299479
"3972",20108945,-9044,"Vireo olivaceus",2010,-90,44,0.80948707,-0.186299447,136.2871753,1.214611113,131,141,10,146,-508.9405382,-5.089405382
"3973",20108943,-9042,"Vireo olivaceus",2010,-90,42,0.688343675,-1.045016443,129.2922322,2.666292778,119,140,21,147,-265.3282697,-2.653282697
"3974",20108941,-9040,"Vireo olivaceus",2010,-90,40,0.486228967,-1.174005031,122.4915416,1.594294823,116,129,13,148,-87.8635706,-0.878635706
"3975",20108937,-9036,"Vireo olivaceus",2010,-90,36,0.147539607,-0.372896144,106.9909665,2.124331601,99,115,16,150,286.9801794,2.869801794
"3976",20109147,-9246,"Vireo olivaceus",2010,-92,46,0.37399704,-0.465998985,144.0849877,4.28844978,128,160,32,158,-712.9433601,-7.129433601
"3977",20109145,-9244,"Vireo olivaceus",2010,-92,44,0.440684619,-0.398213612,133.2236701,4.952006978,115,152,37,159,-530.598669,-5.30598669
"3978",20109143,-9242,"Vireo olivaceus",2010,-92,42,0.363109541,-1.001694208,127.8881155,1.16892367,123,133,10,160,-333.5295139,-3.335295139
"3979",20109345,-9444,"Vireo olivaceus",2010,-94,44,0.419310367,0.582560779,140.0707624,3.537741964,127,154,27,172,-494.0083912,-4.940083912
