"","year","lat","long","D1","D2","D3","D4_arrival","D5","D6","D7"
"99",2006,-88,42,NA,NA,NA,NA,NA,NA,NA
"100",2006,-88,40,NA,NA,NA,NA,NA,NA,NA
"101",2006,-88,38,NA,NA,NA,NA,NA,NA,NA
"102",2006,-88,34,NA,NA,NA,NA,NA,NA,NA
"103",2006,-90,44,NA,NA,NA,NA,NA,NA,NA
"104",2006,-90,42,NA,NA,NA,NA,NA,NA,NA
"105",2006,-90,40,NA,NA,NA,NA,NA,NA,NA
"106",2007,-72,42,NA,NA,NA,NA,NA,NA,NA
"107",2007,-74,44,NA,NA,NA,NA,NA,NA,NA
"108",2007,-74,42,NA,NA,NA,NA,NA,NA,NA
"109",2007,-74,40,NA,NA,NA,NA,NA,NA,NA
"110",2007,-76,44,NA,NA,NA,NA,NA,NA,NA
"111",2007,-76,42,NA,NA,NA,NA,NA,NA,NA
"112",2007,-76,40,NA,NA,NA,NA,NA,NA,NA
"113",2007,-76,38,NA,NA,NA,NA,NA,NA,NA
"114",2007,-78,44,NA,NA,NA,NA,NA,NA,NA
"115",2007,-78,42,NA,NA,NA,NA,NA,NA,NA
"116",2007,-78,38,NA,NA,NA,NA,NA,NA,NA
"117",2007,-78,36,NA,NA,NA,NA,NA,NA,NA
"118",2007,-80,38,NA,NA,NA,NA,NA,NA,NA
"119",2007,-80,36,NA,NA,NA,NA,NA,NA,NA
"120",2007,-82,40,NA,NA,NA,NA,NA,NA,NA
"121",2007,-82,38,NA,NA,NA,NA,NA,NA,NA
"122",2007,-82,36,NA,NA,NA,NA,NA,NA,NA
"123",2007,-82,34,NA,NA,NA,NA,NA,NA,NA
"124",2007,-84,42,NA,NA,NA,NA,NA,NA,NA
"125",2007,-84,40,NA,NA,NA,NA,NA,NA,NA
"126",2007,-84,38,NA,NA,NA,NA,NA,NA,NA
"127",2007,-84,34,NA,NA,NA,NA,NA,NA,NA
"128",2007,-86,40,NA,NA,NA,NA,NA,NA,NA
"129",2007,-86,38,NA,NA,NA,NA,NA,NA,NA
"130",2007,-86,36,NA,NA,NA,NA,NA,NA,NA
"131",2007,-86,34,NA,NA,NA,NA,NA,NA,NA
"132",2007,-88,42,NA,NA,NA,NA,NA,NA,NA
"133",2007,-88,40,NA,NA,NA,NA,NA,NA,NA
"134",2007,-88,38,NA,NA,NA,NA,NA,NA,NA
